juego,concurso,fecha,bolsa,n1,n2,n3,n4,n5,n6,adicional
melate,1,1984-08-19,0,1,4,7,11,19,30,36
melate,2,1984-08-26,0,5,6,24,30,34,38,32
melate,3,1984-09-02,0,16,18,19,21,29,32,27
melate,4,1984-09-09,0,8,12,15,18,20,34,37
melate,5,1984-09-16,0,4,10,13,18,33,39,11
melate,6,1984-09-23,0,12,23,29,31,32,36,1
melate,7,1984-09-30,0,12,14,21,29,32,39,26
melate,8,1984-10-07,0,4,12,17,19,20,30,25
melate,9,1984-10-14,0,4,6,10,15,32,36,33
melate,10,1984-10-21,0,2,3,24,25,29,34,7
melate,11,1984-10-28,0,3,5,14,15,26,34,28
melate,12,1984-11-04,0,3,14,24,32,36,39,28
melate,13,1984-11-11,0,6,9,23,24,28,36,26
melate,14,1984-11-18,0,4,8,25,32,36,38,27
melate,15,1984-11-25,0,6,9,15,23,32,37,7
melate,16,1984-12-02,0,2,11,13,22,30,36,24
melate,17,1984-12-09,0,10,19,20,25,30,32,7
melate,18,1984-12-16,0,1,3,4,26,28,36,6
melate,19,1984-12-23,0,3,18,22,26,31,36,14
melate,20,1984-12-30,0,4,21,27,31,33,39,14
melate,21,1985-01-06,0,4,12,13,17,34,36,21
melate,22,1985-01-13,0,2,5,8,14,35,38,24
melate,23,1985-01-20,0,3,18,22,24,26,33,2
melate,24,1985-01-27,0,3,10,16,22,28,29,27
melate,25,1985-02-03,0,3,7,19,20,26,29,21
melate,26,1985-02-10,0,9,21,25,26,29,32,5
melate,27,1985-02-17,0,12,13,23,27,30,35,1
melate,28,1985-02-24,0,6,8,11,13,24,30,5
melate,29,1985-03-03,0,1,5,8,18,33,35,19
melate,30,1985-03-10,0,12,14,20,22,25,26,33
melate,31,1985-03-17,0,14,18,23,28,31,35,38
melate,32,1985-03-24,0,6,17,22,27,37,39,26
melate,33,1985-03-31,0,6,11,14,16,27,29,28
melate,34,1985-04-07,0,1,8,10,17,21,38,9
melate,35,1985-04-14,0,1,7,12,19,20,28,10
melate,36,1985-04-21,0,3,8,11,27,29,38,14
melate,37,1985-04-28,0,2,12,14,27,28,36,34
melate,38,1985-05-05,0,5,12,21,27,29,33,16
melate,39,1985-05-12,0,2,10,31,34,35,39,20
melate,40,1985-05-19,0,2,5,6,9,11,15,1
melate,41,1985-05-26,0,3,9,20,21,23,28,31
melate,42,1985-06-02,0,10,22,29,31,38,39,36
melate,43,1985-06-09,0,26,27,29,30,36,39,19
melate,44,1985-06-16,0,9,10,16,21,26,29,15
melate,45,1985-06-23,0,2,11,15,18,30,34,23
melate,46,1985-06-30,0,2,9,23,29,34,37,31
melate,47,1985-07-07,0,11,16,25,26,29,35,8
melate,48,1985-07-14,0,1,16,19,32,36,38,22
melate,49,1985-07-21,0,20,22,26,28,30,32,12
melate,50,1985-07-28,0,6,21,22,28,30,35,32
melate,51,1985-08-04,0,3,21,24,29,31,34,26
melate,52,1985-08-11,0,6,10,11,22,27,28,37
melate,53,1985-08-18,0,7,8,9,16,17,21,3
melate,54,1985-08-25,0,15,20,21,27,30,36,33
melate,55,1985-09-01,0,1,19,27,28,34,39,20
melate,56,1985-09-08,0,3,6,11,21,34,37,9
melate,57,1985-09-15,0,7,14,17,22,24,26,30
melate,58,1985-09-22,0,4,10,22,28,30,37,1
melate,59,1985-09-29,0,6,7,13,32,37,38,28
melate,60,1985-10-06,0,5,21,24,26,30,36,38
melate,61,1985-10-13,0,3,19,20,24,25,38,30
melate,62,1985-10-20,0,4,7,19,22,29,31,13
melate,63,1985-10-27,0,7,8,9,14,21,36,38
melate,64,1985-11-03,0,7,13,18,19,21,29,34
melate,65,1985-11-10,0,2,4,19,22,33,35,8
melate,66,1985-11-17,0,6,8,11,15,33,36,4
melate,67,1985-11-24,0,9,11,12,29,30,36,28
melate,68,1985-12-01,0,12,21,23,35,37,39,33
melate,69,1985-12-08,0,4,16,17,20,26,33,23
melate,70,1985-12-15,0,2,3,6,21,33,36,12
melate,71,1985-12-22,0,5,12,16,24,31,34,7
melate,72,1985-12-29,0,2,5,7,8,21,30,39
melate,73,1986-01-05,0,4,9,10,27,37,39,2
melate,74,1986-01-12,0,2,4,30,31,37,39,17
melate,75,1986-01-19,0,11,15,32,34,38,39,22
